text,chapter,verse,unitId,content,morphologyId,en
1John,1,1,1,1,0,1
1John,1,1,2,Ὃ,1,That which
1John,1,1,3,ἦν,2,was
1John,1,1,4,ἀπʼ,3,from
1John,1,1,5,ἀρχῆς,4,the beginning
1John,1,1,6,",",0,","
1John,1,1,7,ὃ,1,which
1John,1,1,8,ἀκηκόαμεν,5,we have heard
1John,1,1,9,",",0,","
1John,1,1,10,ὃ,1,which
1John,1,1,11,ἑωράκαμεν,6,we have seen
1John,1,1,12,τοῖς,7,
1John,1,1,13,ὀφθαλμοῖς,8,with eyes
1John,1,1,14,ἡμῶν,9,our
1John,1,1,15,",",0,","
1John,1,1,16,ὃ,1,which
1John,1,1,17,ἐθεασάμεθα,10,we looked upon
1John,1,1,18,καὶ,11,and
1John,1,1,19,αἱ,12,
1John,1,1,20,χεῖρες,13,with hands
1John,1,1,21,ἡμῶν,9,our
1John,1,1,22,ἐψηλάφησαν,14,have touched
1John,1,1,23,",",0,","
1John,1,1,24,περὶ,15,concerning
1John,1,1,25,τοῦ,16,the
1John,1,1,26,λόγου,17,word
1John,1,1,27,τῆς,18,
1John,1,1,28,ζωῆς,19,of life
1John,1,1,29,—,0,—
1John,1,2,30,2,0,2
1John,1,2,31,καὶ,11,and
1John,1,2,32,ἡ,20,the
1John,1,2,33,ζωὴ,21,life
1John,1,2,34,ἐφανερώθη,22,was made manifest
1John,1,2,35,",",0,","
1John,1,2,36,καὶ,11,and
1John,1,2,37,ἑωράκαμεν,6,we have seen it
1John,1,2,38,καὶ,11,and
1John,1,2,39,μαρτυροῦμεν,23,testified to it
1John,1,2,40,καὶ,11,and 
1John,1,2,41,ἀπαγγέλλομεν,24,proclaim
1John,1,2,42,ὑμῖν,25,to you
1John,1,2,43,τὴν,26,the
1John,1,2,44,ζωὴν,27,life
1John,1,2,45,τὴν,26,
1John,1,2,46,αἰώνιον,28,eternal
1John,1,2,47,ἥτις,29,which
1John,1,2,48,ἦν,2,was
1John,1,2,49,πρὸς,30,with
1John,1,2,50,τὸν,31,the
1John,1,2,51,πατέρα,32,Father
1John,1,2,52,καὶ,11,and
1John,1,2,53,ἐφανερώθη,22,was made manifest
1John,1,2,54,ἡμῖν,33,to us
1John,1,2,55,—,0,—
1John,1,3,56,3,0,3
1John,1,3,57,ὃ,1,that which
1John,1,3,58,ἑωράκαμεν,6,we have seen
1John,1,3,59,καὶ,11,and
1John,1,3,60,ἀκηκόαμεν,5,heard
1John,1,3,61,ἀπαγγέλλομεν,24,we proclaim
1John,1,3,62,καὶ,11,also
1John,1,3,63,ὑμῖν,25,to you
1John,1,3,64,",",0,","
1John,1,3,65,ἵνα,34,so that
1John,1,3,66,καὶ,11,too
1John,1,3,67,ὑμεῖς,35,you
1John,1,3,68,κοινωνίαν,36,fellowship
1John,1,3,69,ἔχητε,37,may have
1John,1,3,70,μεθʼ,38,with
1John,1,3,71,ἡμῶν,9,us
1John,1,3,72,·,0,·
1John,1,3,73,καὶ,11,and
1John,1,3,74,ἡ,20,
1John,1,3,75,κοινωνία,39,fellowship
1John,1,3,76,δὲ,40,
1John,1,3,77,ἡ,20,
1John,1,3,78,ἡμετέρα,41,our
1John,1,3,79,μετὰ,42,with
1John,1,3,80,τοῦ,16,the
1John,1,3,81,πατρὸς,43,Father
1John,1,3,82,καὶ,11,and
1John,1,3,83,μετὰ,42,with
1John,1,3,84,τοῦ,16,
1John,1,3,85,υἱοῦ,44,son
1John,1,3,86,αὐτοῦ,45,his
1John,1,3,87,Ἰησοῦ,46,Jesus
1John,1,3,88,Χριστοῦ,47,Christ
1John,1,3,89,·,0,·
1John,1,4,90,4,0,4
1John,1,4,91,καὶ,11,and
1John,1,4,92,ταῦτα,48,these things
1John,1,4,93,γράφομεν,49,are writing
1John,1,4,94,ἡμεῖς,50,we
1John,1,4,95,ἵνα,34,so that
1John,1,4,96,ἡ,20,
1John,1,4,97,χαρὰ,51,joy
1John,1,4,98,ἡμῶν,9,our
1John,1,4,99,ᾖ,52,
1John,1,4,100,πεπληρωμένη,53,may be complete
1John,1,4,101,.,0,.
1John,1,5,102,5,0,5
1John,1,5,103,Καὶ,11,
1John,1,5,104,ἔστιν,54,is
1John,1,5,105,αὕτη,55,this
1John,1,5,106,ἡ,20,the
1John,1,5,107,ἀγγελία,56,message
1John,1,5,108,ἣν,57,
1John,1,5,109,ἀκηκόαμεν,5,we have heard
1John,1,5,110,ἀπʼ,3,from
1John,1,5,111,αὐτοῦ,45,him
1John,1,5,112,καὶ,11,and
1John,1,5,113,ἀναγγέλλομεν,58,proclaim
1John,1,5,114,ὑμῖν,25,to you
1John,1,5,115,",",0,","
1John,1,5,116,ὅτι,59,that which
1John,1,5,117,ὁ,60,
1John,1,5,118,θεὸς,61,God
1John,1,5,119,φῶς,62,light
1John,1,5,120,ἐστιν,63,is
1John,1,5,121,καὶ,11,and
1John,1,5,122,σκοτία,64,darkness
1John,1,5,123,ἐν,65,in
1John,1,5,124,αὐτῷ,66,him
1John,1,5,125,οὐκ,67,
1John,1,5,126,ἔστιν,54,is not
1John,1,5,127,οὐδεμία,68,at all
1John,1,5,128,.,0,.
1John,1,6,129,6,0,6
1John,1,6,130,ἐὰν,69,If
1John,1,6,131,εἴπωμεν,70,we say
1John,1,6,132,ὅτι,59,
1John,1,6,133,κοινωνίαν,36,fellowship
1John,1,6,134,ἔχομεν,71,we have
1John,1,6,135,μετʼ,72,with
1John,1,6,136,αὐτοῦ,45,him
1John,1,6,137,καὶ,11,while
1John,1,6,138,ἐν,65,in
1John,1,6,139,τῷ,73,
1John,1,6,140,σκότει,74,darkness
1John,1,6,141,περιπατῶμεν,75,we walk
1John,1,6,142,",",0,","
1John,1,6,143,ψευδόμεθα,76,we lie
1John,1,6,144,καὶ,11,and
1John,1,6,145,οὐ,77,
1John,1,6,146,ποιοῦμεν,78,do not practice
1John,1,6,147,τὴν,26,the
1John,1,6,148,ἀλήθειαν,79,truth
1John,1,6,149,·,0,·
1John,1,7,150,7,0,7
1John,1,7,151,ἐὰν,69,But if
1John,1,7,152,δὲ,40,
1John,1,7,153,ἐν,65,in
1John,1,7,154,τῷ,73,the
1John,1,7,155,φωτὶ,80,light
1John,1,7,156,περιπατῶμεν,75,we walk
1John,1,7,157,ὡς,81,as
1John,1,7,158,αὐτός,82,he
1John,1,7,159,ἐστιν,63,is
1John,1,7,160,ἐν,65,in
1John,1,7,161,τῷ,73,the
1John,1,7,162,φωτί,83,light
1John,1,7,163,",",0,","
1John,1,7,164,κοινωνίαν,36,fellowship
1John,1,7,165,ἔχομεν,71,we have
1John,1,7,166,μετʼ,72,with
1John,1,7,167,ἀλλήλων,84,one another
1John,1,7,168,καὶ,11,and
1John,1,7,169,τὸ,85,the
1John,1,7,170,αἷμα,86,blook
1John,1,7,171,Ἰησοῦ,46,of Jesus
1John,1,7,172,τοῦ,16,
1John,1,7,173,υἱοῦ,44,Son
1John,1,7,174,αὐτοῦ,45,his
1John,1,7,175,καθαρίζει,87,cleanses
1John,1,7,176,ἡμᾶς,88,us
1John,1,7,177,ἀπὸ,89,from
1John,1,7,178,πάσης,90,all
1John,1,7,179,ἁμαρτίας,91,sin
1John,1,7,180,.,0,.
1John,1,8,181,8,0,8
1John,1,8,182,ἐὰν,69,If
1John,1,8,183,εἴπωμεν,70,we say
1John,1,8,184,ὅτι,59,
1John,1,8,185,ἁμαρτίαν,92,sin
1John,1,8,186,οὐκ,67,
1John,1,8,187,ἔχομεν,71,we have no
1John,1,8,188,",",0,","
1John,1,8,189,ἑαυτοὺς,93,ourselves
1John,1,8,190,πλανῶμεν,94,we deceive
1John,1,8,191,καὶ,11,and
1John,1,8,192,ἡ,20,the
1John,1,8,193,ἀλήθεια,95,truth
1John,1,8,194,οὐκ,67,
1John,1,8,195,ἔστιν,54,is not
1John,1,8,196,ἐν,65,in
1John,1,8,197,ἡμῖν,33,us
1John,1,8,198,.,0,.
1John,1,9,199,9,0,9
1John,1,9,200,ἐὰν,69,If
1John,1,9,201,ὁμολογῶμεν,96,we confess
1John,1,9,202,τὰς,97,
1John,1,9,203,ἁμαρτίας,91,sins
1John,1,9,204,ἡμῶν,9,our
1John,1,9,205,",",0,","
1John,1,9,206,πιστός,98,faithful
1John,1,9,207,ἐστιν,63,he is
1John,1,9,208,καὶ,11,and
1John,1,9,209,δίκαιος,99,just
1John,1,9,210,ἵνα,34,to
1John,1,9,211,ἀφῇ,100,forgive
1John,1,9,212,ἡμῖν,33,us
1John,1,9,213,τὰς,97,our
1John,1,9,214,ἁμαρτίας,91,sins
1John,1,9,215,καὶ,11,and
1John,1,9,216,καθαρίσῃ,101,cleanse
1John,1,9,217,ἡμᾶς,88,us
1John,1,9,218,ἀπὸ,89,from
1John,1,9,219,πάσης,90,all
1John,1,9,220,ἀδικίας,102,unrighteousness
1John,1,9,221,.,0,.
1John,1,10,222,10,0,10
1John,1,10,223,ἐὰν,69,If
1John,1,10,224,εἴπωμεν,70,we say
1John,1,10,225,ὅτι,59,
1John,1,10,226,οὐχ,103,
1John,1,10,227,ἡμαρτήκαμεν,104,we have not sinned
1John,1,10,228,",",0,","
1John,1,10,229,ψεύστην,105,a liar
1John,1,10,230,ποιοῦμεν,78,we make
1John,1,10,231,αὐτὸν,106,him
1John,1,10,232,καὶ,11,and
1John,1,10,233,ὁ,60,
1John,1,10,234,λόγος,107,word
1John,1,10,235,αὐτοῦ,45,his
1John,1,10,236,οὐκ,67,
1John,1,10,237,ἔστιν,54,is not
1John,1,10,238,ἐν,65,in
1John,1,10,239,ἡμῖν,33,us
1John,1,10,240,.,0,.
1John,2,1,241,1,0,
1John,2,1,242,Τεκνία,108,
1John,2,1,243,μου,109,
1John,2,1,244,",",0,
1John,2,1,245,ταῦτα,48,
1John,2,1,246,γράφω,110,
1John,2,1,247,ὑμῖν,25,
1John,2,1,248,ἵνα,34,
1John,2,1,249,μὴ,111,
1John,2,1,250,ἁμάρτητε,112,
1John,2,1,251,.,0,
1John,2,1,252,καὶ,11,
1John,2,1,253,ἐάν,113,
1John,2,1,254,τις,114,
1John,2,1,255,ἁμάρτῃ,115,
1John,2,1,256,",",0,
1John,2,1,257,παράκλητον,116,
1John,2,1,258,ἔχομεν,71,
1John,2,1,259,πρὸς,30,
1John,2,1,260,τὸν,31,
1John,2,1,261,πατέρα,32,
1John,2,1,262,Ἰησοῦν,117,
