Greek New Testament — Seed Data Processing Tracker,,,,,,,,,
#,Book,Book#,Chapter,Verses,Verse Range,Batch #,Status,Date Done,Notes
1,Matthew,40,Chapter 1,8,1–8,Batch 1,✅ Complete,2026-03-02,Generated 1JohnChapter1_v1-8.cs
2,Matthew,40,Chapter 1,8,9–16,Batch 2,✅ Complete,2026-03-02,Generated 1JohnChapter1_v9-10.cs
3,Matthew,40,Chapter 1,8,17–24,Batch 3,✅ Complete,2026-03-02,Generated 1JohnChapter2_v1-8.cs
4,Matthew,40,Chapter 1,1,25–25,Batch 4,✅ Complete,2026-03-03,Generated 1JohnChapter2_v9-12.cs
5,Matthew,40,Chapter 2,8,1–8,Batch 5,✅ Complete,2026-03-03,Generated 1JohnChapter2_v13-16.cs
6,Matthew,40,Chapter 2,8,9–16,Batch 6,✅ Complete,2026-03-03,Generated 1JohnChapter2_v17-20.cs
7,Matthew,40,Chapter 2,7,17–23,Batch 7,✅ Complete,2026-03-03,Generated 1JohnChapter2_v21-24.cs
8,Matthew,40,Chapter 3,8,1–8,Batch 8,✅ Complete,2026-03-02,Generated 1JohnChapter2_v25-29.cs
9,Matthew,40,Chapter 3,8,9–16,Batch 9,✅ Complete,2026-03-02,Generated 1JohnChapter3_v1-8.cs
10,Matthew,40,Chapter 3,1,17–17,Batch 10,✅ Complete,2026-03-02,Generated 1JohnChapter3_v9-16.cs
11,Matthew,40,Chapter 4,8,1–8,Batch 11,✅ Complete,2026-03-03,Generated 1JohnChapter3_v17-24.cs
12,Matthew,40,Chapter 4,8,9–16,Batch 12,✅ Complete,2026-03-02,Generated 1JohnChapter4_v1-8.cs
13,Matthew,40,Chapter 4,8,17–24,Batch 13,✅ Complete,2026-03-03,Generated 1JohnChapter4_v9-16.cs
14,Matthew,40,Chapter 4,1,25–25,Batch 14,✅ Complete,2026-03-02,Generated 1JohnChapter4_v17-21.cs
15,Matthew,40,Chapter 5,8,1–8,Batch 15,✅ Complete,2026-03-02,Generated 1JohnChapter5_v1-8.cs
16,Matthew,40,Chapter 5,8,9–16,Batch 16,✅ Complete,2026-03-03,Generated 1JohnChapter5_v9-16.cs
17,Matthew,40,Chapter 5,8,17–24,Batch 17,✅ Complete,2026-03-03,Generated 1JohnChapter5_v17-21.cs
18,Matthew,40,Chapter 5,8,25–32,Batch 18,✅ Complete,2026-02-25,Generated MatthewChapter5_v25-32.cs
19,Matthew,40,Chapter 5,8,33–40,Batch 19,✅ Complete,2026-03-03,Generated 2JohnChapter1_v1-8.cs
20,Matthew,40,Chapter 5,8,41–48,Batch 20,✅ Complete,2026-03-03,Generated 2JohnChapter1_v9-13.cs
21,Matthew,40,Chapter 6,8,1–8,Batch 21,✅ Complete,2026-02-25,Generated MatthewChapter6_v1-8.cs
22,Matthew,40,Chapter 6,8,9–16,Batch 22,✅ Complete,2026-03-02,Generated 3JohnChapter1_v1-8.cs
23,Matthew,40,Chapter 6,8,17–24,Batch 23,✅ Complete,2026-03-03,Generated 3JohnChapter1_v9-14.cs
