Greek New Testament — Seed Data Processing Tracker,,,,,,,,,
#,Book,Book#,Chapter,Verses,Verse Range,Batch #,Status,Date Done,Notes
📖  Matthew  (Book #40),,,,,,,,,
1,Matthew,40,Chapter 1,8,1–8,Batch 1,✅ Complete,2026-03-02,Generated 1JohnChapter1_v1-8.cs
2,Matthew,40,Chapter 1,8,9–16,Batch 2,✅ Complete,2026-03-02,Generated 1JohnChapter1_v9-10.cs
3,Matthew,40,Chapter 1,8,17–24,Batch 3,✅ Complete,2026-03-02,Generated 1JohnChapter2_v1-8.cs
4,Matthew,40,Chapter 1,1,25–25,Batch 4,✅ Complete,2026-03-03,Generated 1JohnChapter2_v9-12.cs
5,Matthew,40,Chapter 2,8,1–8,Batch 5,✅ Complete,2026-03-03,Generated 1JohnChapter2_v13-16.cs
6,Matthew,40,Chapter 2,8,9–16,Batch 6,✅ Complete,2026-03-03,Generated 1JohnChapter2_v17-20.cs
7,Matthew,40,Chapter 2,7,17–23,Batch 7,✅ Complete,2026-03-03,Generated 1JohnChapter2_v21-24.cs
8,Matthew,40,Chapter 3,8,1–8,Batch 8,✅ Complete,2026-03-02,Generated 1JohnChapter2_v25-29.cs
9,Matthew,40,Chapter 3,8,9–16,Batch 9,✅ Complete,2026-03-02,Generated 1JohnChapter3_v1-8.cs
10,Matthew,40,Chapter 3,1,17–17,Batch 10,✅ Complete,2026-03-02,Generated 1JohnChapter3_v9-16.cs
11,Matthew,40,Chapter 4,8,1–8,Batch 11,✅ Complete,2026-03-03,Generated 1JohnChapter3_v17-24.cs
12,Matthew,40,Chapter 4,8,9–16,Batch 12,✅ Complete,2026-03-02,Generated 1JohnChapter4_v1-8.cs
13,Matthew,40,Chapter 4,8,17–24,Batch 13,✅ Complete,2026-03-03,Generated 1JohnChapter4_v9-16.cs
14,Matthew,40,Chapter 4,1,25–25,Batch 14,✅ Complete,2026-03-02,Generated 1JohnChapter4_v17-21.cs
15,Matthew,40,Chapter 5,8,1–8,Batch 15,✅ Complete,2026-03-02,Generated 1JohnChapter5_v1-8.cs
16,Matthew,40,Chapter 5,8,9–16,Batch 16,✅ Complete,2026-03-03,Generated 1JohnChapter5_v9-16.cs
17,Matthew,40,Chapter 5,8,17–24,Batch 17,✅ Complete,2026-03-03,Generated 1JohnChapter5_v17-21.cs
18,Matthew,40,Chapter 5,8,25–32,Batch 18,✅ Complete,2026-02-25,Generated MatthewChapter5_v25-32.cs
19,Matthew,40,Chapter 5,8,33–40,Batch 19,✅ Complete,2026-03-03,Generated 2JohnChapter1_v1-8.cs
20,Matthew,40,Chapter 5,8,41–48,Batch 20,✅ Complete,2026-03-03,Generated 2JohnChapter1_v9-13.cs
21,Matthew,40,Chapter 6,8,1–8,Batch 21,✅ Complete,2026-02-25,Generated MatthewChapter6_v1-8.cs
22,Matthew,40,Chapter 6,8,9–16,Batch 22,✅ Complete,2026-03-02,Generated 3JohnChapter1_v1-8.cs
23,Matthew,40,Chapter 6,8,17–24,Batch 23,✅ Complete,2026-03-03,Generated 3JohnChapter1_v9-14.cs
24,Matthew,40,Chapter 6,8,25–32,Batch 24,✅ Complete,2026-02-25,Generated MatthewChapter6_v25-32.cs
25,Matthew,40,Chapter 6,2,33–34,Batch 25,✅ Complete,2026-03-02,Generated JudeChapter1_v1-8.cs
26,Matthew,40,Chapter 7,8,1–8,Batch 26,✅ Complete,2026-03-02,Generated JudeChapter1_v9-16.cs
27,Matthew,40,Chapter 7,8,9–16,Batch 27,✅ Complete,2026-03-03,Generated JudeChapter1_v17-24.cs
28,Matthew,40,Chapter 7,8,17–24,Batch 28,✅ Complete,2026-03-02,Generated JudeChapter1_v25-25.cs
29,Matthew,40,Chapter 7,5,25–29,Batch 29,✅ Complete,2026-02-25,Generated MatthewChapter7_v25-29.cs
30,Matthew,40,Chapter 8,8,1–8,Batch 30,✅ Complete,2026-03-03,Generated RevelationChapter1_v1-8.cs
31,Matthew,40,Chapter 8,8,9–16,Batch 31,✅ Complete,2026-03-02,Generated RevelationChapter1_v9-16.cs
32,Matthew,40,Chapter 8,8,17–24,Batch 32,✅ Complete,2026-03-02,Generated RevelationChapter1_v17-20.cs
33,Matthew,40,Chapter 8,8,25–32,Batch 33,✅ Complete,2026-03-02,Generated RevelationChapter2_v1-8.cs
34,Matthew,40,Chapter 8,2,33–34,Batch 34,✅ Complete,2026-03-02,Generated RevelationChapter2_v9-16.cs
35,Matthew,40,Chapter 9,8,1–8,Batch 35,✅ Complete,2026-03-02,Generated RevelationChapter2_v17-24.cs
36,Matthew,40,Chapter 9,8,9–16,Batch 36,✅ Complete,2026-03-02,Generated RevelationChapter2_v25-29.cs
37,Matthew,40,Chapter 9,8,17–24,Batch 37,✅ Complete,2026-03-02,Generated RevelationChapter3_v1-8.cs
38,Matthew,40,Chapter 9,8,25–32,Batch 38,✅ Complete,2026-03-02,Generated RevelationChapter3_v9-16.cs
39,Matthew,40,Chapter 9,6,33–38,Batch 39,✅ Complete,2026-03-02,Generated RevelationChapter3_v17-22.cs
40,Matthew,40,Chapter 10,8,1–8,Batch 40,✅ Complete,2026-03-02,Generated RevelationChapter4_v1-8.cs
41,Matthew,40,Chapter 10,8,9–16,Batch 41,✅ Complete,2026-03-02,Generated RevelationChapter4_v9-11.cs
42,Matthew,40,Chapter 10,8,17–24,Batch 42,✅ Complete,2026-03-03,Generated RevelationChapter5_v1-8.cs
43,Matthew,40,Chapter 10,8,25–32,Batch 43,✅ Complete,2026-03-02,Generated RevelationChapter5_v9-14.cs
44,Matthew,40,Chapter 10,8,33–40,Batch 44,✅ Complete,2026-03-02,Generated RevelationChapter6_v1-8.cs
45,Matthew,40,Chapter 10,2,41–42,Batch 45,✅ Complete,2026-03-02,Generated RevelationChapter6_v9-16.cs
46,Matthew,40,Chapter 11,8,1–8,Batch 46,✅ Complete,2026-03-02,Generated RevelationChapter6_v17-17.cs
47,Matthew,40,Chapter 11,8,9–16,Batch 47,✅ Complete,2026-03-03,Generated RevelationChapter7_v1-8.cs
48,Matthew,40,Chapter 11,8,17–24,Batch 48,✅ Complete,2026-03-03,Generated RevelationChapter7_v9-16.cs
49,Matthew,40,Chapter 11,6,25–30,Batch 49,✅ Complete,2026-03-02,Generated RevelationChapter7_v17-17.cs
50,Matthew,40,Chapter 12,8,1–8,Batch 50,✅ Complete,2026-03-02,Generated RevelationChapter8_v1-8.cs
51,Matthew,40,Chapter 12,8,9–16,Batch 51,✅ Complete,2026-03-02,Generated RevelationChapter8_v9-13.cs
52,Matthew,40,Chapter 12,8,17–24,Batch 52,✅ Complete,2026-03-03,Generated RevelationChapter9_v1-8.cs
53,Matthew,40,Chapter 12,8,25–32,Batch 53,✅ Complete,2026-03-03,Generated RevelationChapter9_v9-16.cs
54,Matthew,40,Chapter 12,8,33–40,Batch 54,✅ Complete,2026-03-02,Generated RevelationChapter9_v17-21.cs
55,Matthew,40,Chapter 12,8,41–48,Batch 55,✅ Complete,2026-03-03,Generated RevelationChapter10_v1-8.cs
56,Matthew,40,Chapter 12,2,49–50,Batch 56,✅ Complete,2026-03-02,Generated RevelationChapter10_v9-11.cs
57,Matthew,40,Chapter 13,8,1–8,Batch 57,✅ Complete,2026-03-02,Generated RevelationChapter11_v1-8.cs
58,Matthew,40,Chapter 13,8,9–16,Batch 58,✅ Complete,2026-03-02,Generated RevelationChapter11_v9-16.cs
59,Matthew,40,Chapter 13,8,17–24,Batch 59,✅ Complete,2026-03-02,Generated RevelationChapter11_v17-19.cs
60,Matthew,40,Chapter 13,8,25–32,Batch 60,✅ Complete,2026-03-02,Generated RevelationChapter12_v1-8.cs
61,Matthew,40,Chapter 13,8,33–40,Batch 61,✅ Complete,2026-03-02,Generated RevelationChapter12_v9-16.cs
62,Matthew,40,Chapter 13,8,41–48,Batch 62,✅ Complete,2026-03-02,Generated RevelationChapter12_v17-17.cs
63,Matthew,40,Chapter 13,8,49–56,Batch 63,✅ Complete,2026-03-02,Generated RevelationChapter13_v1-8.cs
64,Matthew,40,Chapter 13,2,57–58,Batch 64,✅ Complete,2026-03-03,Generated RevelationChapter13_v9-16.cs
65,Matthew,40,Chapter 14,8,1–8,Batch 65,✅ Complete,2026-03-03,Generated RevelationChapter13_v17-18.cs
66,Matthew,40,Chapter 14,8,9–16,Batch 66,✅ Complete,2026-03-02,Generated RevelationChapter14_v1-8.cs
67,Matthew,40,Chapter 14,8,17–24,Batch 67,✅ Complete,2026-03-03,Generated RevelationChapter14_v9-16.cs
68,Matthew,40,Chapter 14,8,25–32,Batch 68,✅ Complete,2026-03-03,Generated RevelationChapter14_v17-20.cs
69,Matthew,40,Chapter 14,4,33–36,Batch 69,✅ Complete,2026-03-02,Generated RevelationChapter15_v1-8.cs
70,Matthew,40,Chapter 15,8,1–8,Batch 70,✅ Complete,2026-03-02,Generated RevelationChapter16_v1-8.cs
71,Matthew,40,Chapter 15,8,9–16,Batch 71,✅ Complete,2026-03-02,Generated RevelationChapter16_v9-16.cs
72,Matthew,40,Chapter 15,8,17–24,Batch 72,✅ Complete,2026-03-02,Generated RevelationChapter16_v17-21.cs
73,Matthew,40,Chapter 15,8,25–32,Batch 73,✅ Complete,2026-03-03,Generated RevelationChapter17_v1-8.cs
74,Matthew,40,Chapter 15,7,33–39,Batch 74,✅ Complete,2026-03-02,Generated RevelationChapter17_v9-16.cs
75,Matthew,40,Chapter 16,8,1–8,Batch 75,✅ Complete,2026-03-02,Generated RevelationChapter17_v17-18.cs
76,Matthew,40,Chapter 16,8,9–16,Batch 76,✅ Complete,2026-03-02,Generated RevelationChapter18_v1-8.cs
77,Matthew,40,Chapter 16,8,17–24,Batch 77,✅ Complete,2026-03-02,Generated RevelationChapter18_v9-16.cs
78,Matthew,40,Chapter 16,4,25–28,Batch 78,✅ Complete,2026-03-02,Generated RevelationChapter18_v17-24.cs
79,Matthew,40,Chapter 17,8,1–8,Batch 79,✅ Complete,2026-03-02,Generated RevelationChapter19_v1-8.cs
80,Matthew,40,Chapter 17,8,9–16,Batch 80,✅ Complete,2026-03-02,Generated RevelationChapter19_v9-16.cs
81,Matthew,40,Chapter 17,8,17–24,Batch 81,✅ Complete,2026-03-02,Generated RevelationChapter19_v17-21.cs
82,Matthew,40,Chapter 17,3,25–27,Batch 82,✅ Complete,2026-03-03,Generated RevelationChapter20_v1-8.cs
83,Matthew,40,Chapter 18,8,1–8,Batch 83,✅ Complete,2026-03-03,Generated RevelationChapter20_v9-15.cs
84,Matthew,40,Chapter 18,8,9–16,Batch 84,✅ Complete,2026-03-03,Generated RevelationChapter21_v1-8.cs
85,Matthew,40,Chapter 18,8,17–24,Batch 85,✅ Complete,2026-03-03,Generated RevelationChapter21_v9-16.cs
86,Matthew,40,Chapter 18,8,25–32,Batch 86,✅ Complete,2026-03-03,Generated RevelationChapter21_v17-24.cs
87,Matthew,40,Chapter 18,3,33–35,Batch 87,✅ Complete,2026-03-03,Generated RevelationChapter21_v25-27.cs
88,Matthew,40,Chapter 19,8,1–8,Batch 88,✅ Complete,2026-03-03,Generated RevelationChapter22_v1-8.cs
